BiGG	formula	charge
3ohdcoa	C37H60N7O18P3S	-4.0
3ohexACP	C17H29N2O9PS*	-1.0
3ohglutac	C5H6O5	-2.0
3ohodcoa	C39H64N7O18P3S	-4.0
3ohsebac	C10H18O5	0.0
3ohsebcoa	C31H47N7O20P3S	-5.0
3ohsubac	C8H14O5	0.0
3ohsubcoa	C29H43N7O20P3S	-5.0
3ohxccoa	C47H80N7O18P3S	-4.0
3oocoa	C29H44N7O18P3S	-4.0
3ooctACP	C19H33N2O9PS*	-1.0
3ooctdACP	C402H635O144N96P1S3	0.0
3opalmACP	C27H49N2O9PS*	-1.0
3ophb	C47H69O3	-1.0
3ophb_5	C57H85O3	-1.0
3opimcoa	C28H39N7O20P3S	-5.0
3otdcoa	C35H56N7O18P3S	-4.0
3oxoadp	C6H6O5	-2.0
3padsel	C10H15N5O13P2Se	0.0
3pg	C3H4O7P	-3.0
3php	C3H2O7P	-3.0
3pop	C3H3O6P	-2.0
3psme	C10H9O10P	-4.0
3sala	C3H6NO4S	-1.0
3snpyr	C3H4O5S	0.0
3spyr	C3H2O6S	-2.0
3tdcrn	C21H41NO5	0.0
3tetd7ecoa	C35H56N7O18P3S	-4.0
3thexddcoa	C37H58N7O18P3S	-4.0
3ttetddcoa	C35H54N7O18P3S	-4.0
3uib	C5H10N2O3	0.0
3ump	C9H11N2O9P	-2.0
44mctr	C29H46O	0.0
44mzym	C29H48O	0.0
46dh25dohxn	C6H7O6	-1.0
46dhoxquin	C9H7NO2	0.0
48dhoxquin	C9H7NO2	0.0
4aabutn	C6H10NO3	-1.0
4abut	C4H9NO2	0.0
4abutn	C4H10NO	1.0
4abz	C7H6NO2	-1.0
4adcho	C10H10NO5	-1.0
4ahmmp	C6H9N3O	0.0
4ampm	C6H8N3O4P	-2.0
4aphdob	C10H8NO4	-1.0
4bhglz	C15H21N3O4S	0.0
4c2me	C14H23N3O14P2	-2.0
4crsol	C7H8O	0.0
4fe4s	Fe4S4	2.0
4fumacac	C8H6O6	-2.0
4glu56dihdind	C18H23N4O8S	-1.0
4gudbd	C5H13N4O	1.0
4gudbutn	C5H11N3O2	0.0
4h2oglt	C5H4O6	-2.0
4h2opntn	C5H7O4	-1.0
4h3npac	C8H5NO5	-2.0
4h3npacald	C8H6NO4	-1.0
4hatvacid	C33H35FN2O6	0.0
4hatvlac	C33H33FN2O5	0.0
4hba	C7H8O2	0.0
4hbald	C7H6O2	0.0
4hbutcoa	C25H38N7O18P3S	-4.0
4hbz	C7H5O3	-1.0
4hbzcoa	C28H36N7O18P3S	-4.0
4hdebrisoquine	C10H13N3O	0.0
4hexdtetcoa	C37H54N7O17P3S	-4.0
4hexdtricoa	C37H56N7O17P3S	-4.0
4hglusa	C5H9NO4	0.0
4hmdgluc	C24H21ClFN3O7	0.0
4hoxpacd	C8H8O2	0.0
4hphac	C8H7O3	-1.0
4hpro_LT	C5H9NO3	0.0
4hthr	C4H9NO4	0.0
4izp	C6H7N2O3	-1.0
4mbzalc	C8H10O	0.0
4mbzald	C8H8O	0.0
4mcat	C7H8O2	0.0
4met2obut	C5H7O3S	-1.0
4mhetz	C6H9NOS	0.0
4mlacac	C8H6O6	-2.0
4mop	C6H9O3	-1.0
4mpetz	C6H8NO4PS	-2.0
4mptnl	C6H12O	0.0
4mtob	C5H7O3S	-1.0
4mtolbutamide	C12H18N2O4S	0.0
4mzym_int1	C29H45O3	-1.0
4mzym_int2	C28H44O	0.0
4nph	C6H4NO3	-1.0
4nphsf	C6H5NO6S	0.0
4ogm	C5H6NO4	-1.0
4ohbut	C4H7O3	-1.0
4ohmdz	C18H13ClFN3O	0.0
4pasp	C4H6NO7P	-2.0
4per	C4H6O8P	-3.0
4ppan	C9H15NO8P	-3.0
4ppcys	C12H20N2O9PS	-3.0
4pyrdx	C8H8NO4	-1.0
4r5au	C9H16N4O6	0.0
4tmeabut	C7H16NO	1.0
4tmeabutn	C7H15NO2	0.0
56dh5flura	C4H5FN2O2	0.0
56dihindlcrbxlt	C9H6NO4	-1.0
56dthm	C5H8N2O2	0.0
56dura	C4H6N2O2	0.0
56eppvs	C23H35NaO8	0.0
56iqcrbxlt	C9H5NO4	0.0
5HPET	C20H31O4	-1.0
5a2opntn	C5H9NO3	0.0
5adtststerone	C19H30O2	0.0
5adtststeroneglc	C25H38O8	0.0
5adtststerones	C19H29O5S	-1.0
5aizc	C9H12N3O9P	-2.0
5aop	C5H9NO3	0.0
5apentam	C5H13N2O	1.0
5aprbu	C9H15N4O9P	-2.0
5apru	C9H13N4O9P	-2.0
5aptn	C5H11NO2	0.0
5caiz	C9H11N3O9P	-3.0
5cysdopa	C11H17N2O4S	1.0
5cysgly34dhphe	C14H19N3O7S	0.0
5d4dglcr	C6H6O7	-2.0
5dglcn	C6H9O7	-1.0
5dh4dglc	C6H6O7	-2.0
5dh4dglcn	C6H7O6	-1.0
