reaction	lb	ub
R_APG3PAT180	0	1000
R_APG3PAT181	0	1000
R_APH120	0	1000
R_APH140	0	1000
R_APH141	0	1000
R_APH160	0	1000
R_APH161	0	1000
R_APH180	0	1000
R_APH181	0	1000
R_APPLDHr	-1000	1000
R_APRAUR	0	1000
R_ARABDI	-1000	1000
R_ARAI	-1000	1000
R_ARBTNR1	0	1000
R_ARBTNR2	0	1000
R_ARBTNR3	0	1000
R_ARBTNabcpp	0	1000
R_ARBTNexs	0	1000
R_ARBTNtex	0	1000
R_ARBTNtonex	0	1000
R_ARBTNtpp	0	1000
R_ARBTptspp	0	1000
R_ARBTtex	0	1000
R_ARBabcpp	0	1000
R_ARBt2rpp	-1000	1000
R_ARBt3ipp	0	1000
R_ARBtex	-1000	1000
R_ARGAGMt7pp	-1000	1000
R_ARGDC	0	1000
R_ARGDCpp	0	1000
R_ARGORNt7pp	-1000	1000
R_ARGSL	-1000	1000
R_ARGSS	0	1000
R_ARGabcpp	0	1000
R_ARGt3pp	0	1000
R_ARGtex	-1000	1000
R_ARHGDx	-1000	1000
R_ARMEPNS	0	1000
R_ASAD	-1000	1000
R_ASCBPL	0	1000
R_ASCBptspp	0	1000
R_ASCBtex	-1000	1000
R_ASNN	0	1000
R_ASNNpp	0	1000
R_ASNS1	0	1000
R_ASNS2	0	1000
R_ASNt2rpp	-1000	1000
R_ASNtex	-1000	1000
R_ASO3t8pp	0	1000
R_ASO3tex	-1000	1000
R_ASP1DC	0	1000
R_ASPCT	0	1000
R_ASPK	-1000	1000
R_ASPO3	0	1000
R_ASPO4	0	1000
R_ASPO5	0	1000
R_ASPO6	0	1000
R_ASPT	0	1000
R_ASPTA	-1000	1000
R_ASPabcpp	0	1000
R_ASPt2_2pp	0	1000
R_ASPt2_3pp	0	1000
R_ASPt2pp	0	1000
R_ASPtex	-1000	1000
R_ASPtpp	-1000	1000
R_ASR	0	1000
R_AST	0	1000
R_ATHRDHr	-1000	1000
R_ATPHs	0	1000
R_ATPM	0	1000
R_ATPPRT	0	1000
R_ATPS4rpp	-1000	1000
R_BALAt2pp	0	1000
R_BALAtex	-1000	1000
R_BETALDHx	0	1000
R_BETALDHy	0	1000
R_BGLA1	0	1000
R_BIOMASS_Ec_iML1515_WT_75p37M	0	1000
R_BIOMASS_Ec_iML1515_core_75p37M	0	1000
R_BMOCOS	0	1000
R_BMOGDS1	0	1000
R_BMOGDS2	0	1000
R_BPNT	0	1000
R_BSORx	0	1000
R_BSORy	0	1000
R_BTNt2ipp	0	1000
R_BTNtex	-1000	1000
R_BTS5	0	1000
R_BUTCT	0	1000
R_BUTSO3abcpp	0	1000
R_BUTSO3tex	-1000	1000
R_BUTt2rpp	-1000	1000
R_BUTtex	-1000	1000
R_BWCOGDS1	0	1000
R_BWCOGDS2	0	1000
R_BWCOS	0	1000
R_CA2t3pp	0	1000
R_CA2tex	-1000	1000
R_CADVtpp	0	1000
R_CAT	0	1000
R_CAt6pp	-1000	1000
R_CBIAT	-1000	1000
R_CBItonex	0	1000
R_CBIuabcpp	0	1000
R_CBL1abcpp	0	1000
R_CBL1tonex	0	1000
R_CBLAT	-1000	1000
R_CBMD	0	1000
R_CBMKr	-1000	1000
R_CBPS	0	1000
R_CCGS	0	1000
R_CD2abcpp	0	1000
R_CD2t3pp	0	1000
R_CD2tex	-1000	1000
R_CD2tpp	0	1000
R_CDAPPA120	0	1000
R_CDAPPA140	0	1000
R_CDAPPA141	0	1000
R_CDAPPA160	0	1000
R_CDAPPA161	0	1000
R_CDAPPA180	0	1000
R_CDAPPA181	0	1000
R_CDGR	0	1000
R_CDGS	0	1000
R_CDGUNPD	0	1000
R_CDPMEK	0	1000
R_CDPPH	0	1000
R_CELBpts	0	1000
R_CFAS160E	0	1000
R_CFAS160G	0	1000
R_CFAS180E	0	1000
R_CFAS180G	0	1000
R_CGLYabcpp	0	1000
R_CGLYtex	-1000	1000
R_CH4t2pp	0	1000
R_CH4tex	-1000	1000
R_CHLabcpp	0	1000
R_CHLt2pp	0	1000
R_CHLt3pp	0	1000
R_CHLtex	-1000	1000
R_CHOLATEtpp	0	1000
R_CHOLD	0	1000
R_CHOLID	0	1000
R_CHORM	0	1000
R_CHORS	0	1000
R_CHRPL	0	1000
R_CHTBSptspp	0	1000
R_CHTBStex	-1000	1000
R_CINNDO	0	1000
R_CITL	0	1000
R_CITt3pp	0	1000
R_CITt7pp	0	1000
R_CITtex	-1000	1000
R_CLBtex	-1000	1000
R_CLIPAabctex	0	1000
R_CLPNH120pp	0	1000
R_CLPNH140pp	0	1000
R_CLPNH141pp	0	1000
R_CLPNH160pp	0	1000
R_CLPNH161pp	0	1000
R_CLPNH180pp	0	1000
R_CLPNH181pp	0	1000
R_CLPNS120pp	-1000	1000
R_CLPNS140pp	-1000	1000
R_CLPNS141pp	-1000	1000
R_CLPNS160pp	-1000	1000
R_CLPNS161pp	-1000	1000
R_CLPNS180pp	-1000	1000
R_CLPNS181pp	-1000	1000
R_CLt3_2pp	0	1000
R_CLtex	-1000	1000
R_CLtipp	0	1000
R_CMPN	0	1000
R_CMPtex	-1000	1000
R_CMtex	-1000	1000
R_CMtpp	0	1000
R_CO2tex	-1000	1000
R_CO2tpp	-1000	1000
R_COBALT2abcpp	0	1000
R_COBALT2t3pp	0	1000
R_COBALT2tex	-1000	1000
R_COBALT2tpp	0	1000
R_COLIPAKpp	0	1000
R_COLIPAPabctex	0	1000
R_COLIPAabcpp	0	1000
R_COLIPAabctex	0	1000
R_CPGNR1	0	1000
R_CPGNR2	0	1000
R_CPGNR3	0	1000
R_CPGNUtex	0	1000
R_CPGNUtpp	0	1000
R_CPGNabcpp	0	1000
R_CPGNexs	0	1000
R_CPGNtonex	0	1000
R_CPH4S	0	1000
R_CPL	0	1000
R_CPMPS	0	1000
R_CPPPGO	0	1000
R_CPPPGO2	0	1000
R_CRNBTCT	-1000	1000
R_CRNCAL2	0	1000
R_CRNCAR	-1000	1000
R_CRNCBCT	-1000	1000
R_CRNCDH	-1000	1000
R_CRNDCAL2	0	1000
R_CRNDabcpp	0	1000
R_CRNDt2rpp	-1000	1000
R_CRNDtex	-1000	1000
R_CRNabcpp	0	1000
R_CRNt2rpp	-1000	1000
R_CRNt7pp	0	1000
R_CRNt8pp	0	1000
R_CRNtex	-1000	1000
R_CS	0	1000
R_CS1tex	-1000	1000
R_CSND	0	1000
R_CSNt2pp	0	1000
R_CSNtex	-1000	1000
R_CTBTCAL2	0	1000
R_CTBTabcpp	0	1000
R_CTBTt2rpp	-1000	1000
R_CTECOAI6	-1000	1000
R_CTECOAI7	-1000	1000
R_CTECOAI8	-1000	1000
R_CTPS2	0	1000
R_CU1Opp	0	1000
R_CU1abcpp	0	1000
R_CU2abcpp	0	1000
R_CU2tex	-1000	1000
R_CU2tpp	0	1000
R_CURR	0	1000
R_CUt2pp	0	1000
R_CUt3	0	1000
R_CUtex	-1000	1000
R_CXSAMS	0	1000
R_CYANST	0	1000
R_CYANSTpp	0	1000
R_CYANtex	-1000	1000
R_CYNTAH	0	1000
R_CYNTt2pp	0	1000
R_CYNTtex	-1000	1000
R_CYSDDS	0	1000
R_CYSDS	0	1000
R_CYSDabcpp	0	1000
R_CYSDtex	-1000	1000
R_CYSItex	-1000	1000
R_CYSItpp	0	1000
R_CYSS	0	1000
R_CYSSADS	0	1000
R_CYSTA	0	1000
R_CYSTL	0	1000
R_CYSabc2pp	0	1000
R_CYSabcpp	0	1000
R_CYStex	-1000	1000
R_CYStpp	0	1000
R_CYTBD2pp	0	1000
R_CYTBDpp	0	1000
R_CYTBO3_4pp	0	1000
R_CYTD	0	1000
R_CYTDH	0	1000
R_CYTDK1	0	1000
R_CYTDK2	0	1000
R_CYTDt2pp_copy1	0	1000
R_CYTDt2pp_copy2	-1000	1000
R_CYTDtex	-1000	1000
R_CYTK1	-1000	1000
R_CYTK2	-1000	1000
R_DAAD	0	1000
R_DADA	0	1000
R_DADK	-1000	1000
R_DADNt2pp	0	1000
R_DADNtex	-1000	1000
R_DAGK120	0	1000
R_DAGK140	0	1000
R_DAGK141	0	1000
R_DAGK160	0	1000
R_DAGK161	0	1000
R_DAGK180	0	1000
R_DAGK181	0	1000
R_DALAt2pp	0	1000
R_DALAtex	-1000	1000
R_DAMPtex	-1000	1000
R_DAPAL	0	1000
R_DAPDC	0	1000
R_DAPE	-1000	1000
R_DAPabcpp	0	1000
R_DAPtex	-1000	1000
R_DASYN120	0	1000
R_DASYN140	0	1000
R_DASYN141	0	1000
R_DASYN160	0	1000
R_DASYN161	0	1000
R_DASYN180	0	1000
R_DASYN181	0	1000
R_DATPHs	0	1000
R_DB4PS	0	1000
R_DBTS	0	1000
R_DC6PDA	0	1000
R_DCAtex	-1000	1000
R_DCMPtex	-1000	1000
R_DCTPD	0	1000
R_DCYTD	0	1000
R_DCYTt2pp	0	1000
R_DCYTtex	-1000	1000
R_DDCAtexi	0	1000
R_DDGALK	0	1000
R_DDGLCNt2rpp	-1000	1000
R_DDGLCNtex	-1000	1000
R_DDGLK	0	1000
R_DDPA	0	1000
R_DDPGALA	-1000	1000
R_DGK1	-1000	1000
R_DGMPtex	-1000	1000
R_DGSNt2pp	0	1000
R_DGSNtex	-1000	1000
R_DGUNC	0	1000
R_DHACOAH	-1000	1000
R_DHAD1	0	1000
R_DHAD2	0	1000
R_DHAPT	0	1000
R_DHAtex	-1000	1000
R_DHAtpp	-1000	1000
R_DHBD	-1000	1000
R_DHBS	0	1000
R_DHBSH	0	1000
R_DHBSZ3FEabcpp	0	1000
R_DHCIND	0	1000
R_DHCINDO	0	1000
R_DHCURR	0	1000
R_DHDPRy	0	1000
R_DHDPS	0	1000
R_DHFR	-1000	1000
R_DHFS	0	1000
R_DHGLYH	0	1000
R_DHMPTR	0	1000
R_DHNAOT4	0	1000
R_DHNCOAS	0	1000
R_DHNCOAT	0	1000
